TenLaptop,GiaLaptop,inch,DoPhanGiai,LoaiManHinh,KhacMH,HangCPU,DongCPU,DoiCPU,DungLuongRAM,LoaiRAM,BusRAM,OCung,CardDoHoa,HDH,TrongLuong,XuatXu,NoiMua
Laptop Asus Zenbook UM5401QA-KN209W R5 5600H,18.490.000,14.0 inch, 2880 x 1800 Pixels, OLED," 90 Hz, 500 nits, OLED",AMD,Ryzen 5, 5600H,8 GB, LPDDR4X, 4267 MHz,SSD 512 GB,AMD Radeon Graphics,Windows 11 Home,1.4 kg,Trung Quốc,FPT
Laptop Lenovo IdeaPad 3 14IAU7 i5-1235U,13.490.000,14.0 inch, 1920 x 1080 Pixels, TN," 60 Hz, 250 nits, IPS LCD LED Backlit, True Tone",Intel, i5, 1235U,8 GB, DDR4, 3200 MHz,SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home,1.63 kg,Trung Quốc,FPT
Laptop MSI Modern 14 C5M-030VN R5 5625U,11.600.000,14.0 inch, 1920 x 1080 Pixels, IPS," 60 Hz, FHD",AMD,Ryzen 5, 5625U,8 GB, DDR4, 3200 MHz,SSD 512 GB,AMD Radeon Graphics,Windows 11 Home,1.4 kg,Trung Quốc,FPT
Laptop MSI Modern 15 B5M-023VN R5 5625U,12.100.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, FHD",AMD,Ryzen 5, 5625U,8 GB, DDR4, 3200 MHz,SSD 512 GB,AMD Radeon Graphics,Windows 11 Home,1.75 kg,Trung Quốc,FPT
Laptop Asus Vivobook 15 OLED A1505VA-L1113W i5 13500H,19.490.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 600 nits, FHD",Intel, i5, 13500H,16 GB, DDR4, 3200 MHz,SSD 512 GB,Intel UHD Graphics,Windows 11 Home,1.7 kg,Trung Quốc,FPT
Laptop Asus Vivobook X415EA-EK1387W i3 1115G4,9.790.000,14.0 inch, 1920 x 1080 Pixels, TN," 60 Hz, 220 nits, Anti-glare LED-backlit",Intel, i3, 1115G4,8 GB , DDR4, 3200 MHz,SSD 256 GB,Intel UHD Graphics,Windows 11 Home,1.6 kg,Trung Quốc,FPT
Laptop Asus Vivobook X1502ZA-BQ126W i5 1240P,14.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, LED Backlit",Intel, i5, 1240P,8 GB , DDR4, 3200 MHz,SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home,1.7 kg,Trung Quốc,FPT
Laptop HP Pavilion 14-dv2075TU i5 1235U,17.690.000,14.0 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 250 nits, LED Backlit",Intel, i5, 1235U,8 GB , DDR4, 3200 MHz,SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home,1.41 kg,Trung Quốc,FPT
Laptop HP Pavilion 15-eg2083TU i5 1240P,17.790.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, IPS FHD",Intel, i5, 1240P,8 GB , DDR4, 3200 MHz,SSD 512 GB,,Windows 11 Home Single Language,1.72 kg,Trung Quốc,FPT
Laptop Lenovo ThinkBook 14 G3 ACL R7 5700U,13.990.000,14.0 inch, 1920 x 1080 Pixels, IPS," 60 Hz, Anti - Glare",AMD,Ryzen 7, 5700U,8 GB, DDR4, 3200 MHz,SSD 512 GB,AMD Radeon Graphics,Windows 11 Home Single Language,1.4 kg,Trung Quốc,FPT
Laptop Asus Vivobook M1403QA-LY022W R5 5600H,14.490.000,14.0 inch, 1920 x 1200 Pixels, IPS," 60 Hz, 300 nits, LED Backlit",AMD,Ryzen 5, 5600H,8 GB , DDR4, 3200 MHz,SSD 512 GB,AMD Radeon Graphics,Windows 11,1.6 kg,Trung Quốc,FPT
Laptop Asus Vivobook Flip TN3402YA-LZ026W R5 7530U,17.090.000,14.0 inch, 1920 x 1200 Pixels, IPS," 60 Hz, 250 nits, IPS LCD",AMD,Ryzen 5, 7530U,16 GB, DDR4, 3200 MHz,SSD 512 GB,AMD Radeon Graphics,Windows 11 Home,1.5 kg,Trung Quốc,FPT
Laptop Masstel E116 Celeron N4020,3.990.000,11.6 inch , 1366 x 768 Pixels, TN," 60 Hz, 220 nits, LCD Chính:",Intel,ron, N4020,4 GB, DDR4, 2133 MHz,eMMC 128 GB,Intel UHD Graphics,Windows 10,0.9 kg,Trung Quốc,FPT
Laptop Masstel E140 Celeron N4120,5.490.000,14.0 inch , 1366 x 768 Pixels, IPS," 60 Hz, 250 nits, LCD Chính:",Intel,ron, N4120,4 GB, DDR4, 2400 MHz,SSD 128 GB,,Windows 10 Pro,1.39 kg,Trung Quốc,FPT
Laptop Lenovo IdeaPad 5 15ABA7 R5 5625U,12.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 300 nits, IPS LCD LED Backlit, True Tone",AMD,Ryzen 5, 5625U,8 GB, DDR4, 3200 MHz,SSD 512 GB,AMD Radeon Graphics,Windows 11 Home,1.85 kg,Trung Quốc,FPT
Laptop Acer Aspire 3 A315-56-38B1 i3 1005G1,7.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, LED Backlit",Intel, i3, 1005G1,4 GB , DDR4, 2400 MHz,SSD 256 GB,Intel UHD Graphics,Windows 11 Home Single Language,1.7 kg,Trung Quốc,FPT
Laptop Lenovo Ideapad 3 15ITL6 i5 1155G7,11.490.000,15.6 inch, 1920 x 1080 Pixels, TN," Hãng không công bố, 250 nits, Anti-Glare LED-Backlit Display",Intel, i5, 1155G7,8 GB, DDR4, 3200 MHz,SSD 256 GB,Intel Iris Xe Graphics,Windows 11 Home Single Language,1.65 kg,Trung Quốc,FPT
Laptop HP 15s-fq5144TU i7 1255U,20.390.000,15.6 inch, 1920 x 1080 Pixels, WVA," 60 Hz, 250 nits, Wide-Viewing Angle (WVA)",Intel, i7, 1255U,16 GB, DDR4, 3200 MHz,SSD 512 GB,,Windows 11 Home Single Language,1.69 kg,Trung Quốc,FPT
Laptop HP 240 G9 i5 1235U,16.190.000,14.0 inch, 1920 x 1080 Pixels, IPS," Hãng không công bố, IPS",Intel, i5, 1235U,8 GB , DDR4, 3200 MHz,SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home Single Language,1.41 kg,Trung Quốc,FPT
Laptop Asus TUF Gaming FX706HC-HX579W i5 11400H,19.490.000,17.3 inch, 1920 x 1080 Pixels, IPS," 144 Hz, 250 nits, IPS LCD LED Backlit",Intel, i5, 11400H,8 GB, DDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce RTX 3050 4GB; Intel UHD Graphics,Windows 11 Home,2.6 kg,Trung Quốc,FPT
